v1,v2,Unnamed: 2,Unnamed: 3,Unnamed: 4,CATEGORY-ENCODED
spam,07732584351 rodger burn msg tri call repli sm free nokia mobil free camcord pleas call 08000930705 deliveri tomorrow,,,,1
ham,see,,,,0
ham,great hope like man well endow ltgt inch,,,,0
ham,callsmessagesmiss call,,,,0
ham,didnt get hep b immunis nigeria,,,,0
ham,fair enough anyth go,,,,0
ham,yeah hope tyler cant could mayb ask around bit,,,,0
ham,u dont know stubborn didnt even want go hospit kept tell mark im weak sucker hospit weak sucker,,,,0
ham,think first time saw class,,,,0
ham,gram usual run like ltgt half eighth smarter though get almost whole second gram ltgt,,,,0
ham,k fyi x ride earli tomorrow morn he crash place tonight,,,,0
ham,wow never realiz embarass accomod thought like sinc best could alway seem happi cave im sorri didnt dont give im sorri offer im sorri room embarass,,,,0
spam,sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end repli end sptv,,,,1
ham,know mallika sherawat yesterday find lturlgt,,,,0
spam,congrat 1 year special cinema pass 2 call 09061209465 c suprman v matrix3 starwars3 etc 4 free bx420ip45w 150pm dont miss,,,,1
ham,sorri ill call later meet,,,,0
ham,tell reach,,,,0
ham,yesgauti sehwag odi seri,,,,0
ham,gon na pick 1 burger way home cant even move pain kill,,,,0
ham,ha ha ha good joke girl situat seeker,,,,0
ham,part check iq,,,,0
ham,sorri roommat took forev ok come,,,,0
ham,ok lar doubl check wif da hair dresser alreadi said wun cut v short said cut look nice,,,,0
spam,valu custom pleas advis follow recent review mob award å£1500 bonu prize call 09066364589,,,,1
ham,today song dedic day song u dedic send ur valuabl frnd first rpli,,,,0
spam,urgent ur award complimentari trip eurodisinc trav acoentry41 å£1000 claim txt di 87121 186å£150morefrmmob shracomorsglsuplt10 ls1 3aj,,,,1
spam,hear new divorc barbi come ken stuff,,,,1
ham,plane give month end,,,,0
ham,wah lucki man save money hee,,,,0
ham,finish class,,,,0
ham,hi babe im home wan na someth xx,,,,0
ham,kkwhere youhow perform,,,,0
ham,u call,,,,0
ham,wait machan call free,,,,0
ham,that cool gentleman treat digniti respect,,,,0
ham,like peopl much shi pa,,,,0
ham,oper ltgt,,,,0
ham,still look job much ta earn,,,,0
ham,sorri ill call later,,,,0
ham,k call ah,,,,0
ham,ok way home hi hi,,,,0
ham,place man,,,,0
ham,yup next stop,,,,0
ham,call later dont network urgnt sm,,,,0
ham,real u get yo need 2 ticket one jacket im done alreadi use multi,,,,0
ham,ye start send request make pain came back im back bed doubl coin factori got ta cash nitro,,,,0
ham,im realli still tonight babe,,,,0
ham,ela kanoil download come wen ur free,,,,0
ham,yeah don‰û÷t stand close tho you‰û÷ll catch someth,,,,0
ham,sorri pain ok meet anoth night spent late afternoon casualti mean havent done stuff42moro includ time sheet sorri,,,,0
ham,smile pleasur smile pain smile troubl pour like rain smile sum1 hurt u smile becoz someon still love see u smile,,,,0
spam,pleas call custom servic repres 0800 169 6031 10am9pm guarante å£1000 cash å£5000 prize,,,,1
ham,havent plan buy later check alreadi lido got 530 show e afternoon u finish work alreadi,,,,0
spam,free rington wait collect simpli text password mix 85069 verifi get usher britney fml, PO Box 5249," MK17 92H. 450Ppw 16""",,1
ham,watch telugu moviewat abt u,,,,0
ham,see finish load loan pay,,,,0
ham,hi wk ok hol ye bit run forgot hairdress appoint four need get home n shower beforehand caus prob u ham,,,,0
ham,pleas dont text anymor noth els say,,,,0
ham,okay name ur price long legal wen pick u ave x am xx,,,,0
ham,im still look car buy gone 4the drive test yet,,,,0
ham,per request mell mell oru minnaminungint nurungu vettam set callertun caller press 9 copi friend callertun,,,,0
ham,wow your right didnt mean guess gave boston men chang search locat nyc someth chang cuz signin page still say boston,,,,0
ham,umma life vava umma love lot dear,,,,0
ham,thank lot wish birthday thank make birthday truli memor,,,,0
ham,aight ill hit get cash,,,,0
ham,would ip address test consid comput isnt minecraft server,,,,0
ham,know grumpi old peopl mom like better lie alway one play joke,,,,0
ham,dont worri guess he busi,,,,0
ham,plural noun research,,,,0
ham,go dinnermsg,,,,0
ham,im ok wif co like 2 tri new thing scare u dun like mah co u said loud,,,,0
spam,gent tri contact last weekend draw show å£1000 prize guarante call 09064012160 claim code k52 valid 12hr 150ppm,,,,1
ham,wa ur openin sentenc formal anyway im fine juz tt im eatin much n puttin weighthaha anythin special happen,,,,0
ham,enter cabin pa said happi bday boss felt special askd 4 lunch lunch invit apart went,,,,0
spam,winner u special select 2 receiv å£1000 4 holiday flight inc speak live oper 2 claim 0871277810910pmin 18,,,,1
ham,goodo ye must speak friday eggpotato ratio tortilla need,,,,0
ham,hmmmi uncl inform he pay school directli pl buy food,,,,0
spam,privat 2004 account statement 07742676969 show 786 unredeem bonu point claim call 08719180248 identifi code 45239 expir,,,,1
spam,urgent mobil award å£2000 bonu caller prize 5903 final tri contact u call landlin 09064019788 box42wr29c 150ppm,,,,1
ham,new address applespairsal malarki,,,,0
spam,today voda number end 7548 select receiv 350 award match pleas call 08712300220 quot claim code 4041 standard rate app,,,,1
ham,go sao mu today done 12,,,,0
ham,ìï predict wat time ìll finish buy,,,,0
ham,good stuff,,,,0
ham,knowyetund hasnt sent money yet sent text bother send dont involv anyth shouldnt impos anyth first place apologis,,,,0
ham,room,,,,0
ham,hey girl r u hope u r well del r bak long time c give call sum time lucyxx,,,,0
ham,kkhow much cost,,,,0
ham,im home,,,,0
ham,dear call tmorrowpl accomod,,,,0
ham,first answer question,,,,0
spam,sunshin quiz wkli q win top soni dvd player u know countri algarv txt ansr 82277 å£150 sptyron,,,,1
spam,want 2 get laid tonight want real dog locat sent direct 2 ur mob join uk largest dog network bt txting gravel 69888 nt ec2a 31pmsg150p,,,,1
ham,haf msn yijuehotmailcom,,,,0
ham,call meet,,,,0
ham,check room befor activ,,,,0
spam,youll rcv msg chat svc free hardcor servic text go 69988 u get noth u must age verifi yr network tri,,,,1
ham,got c lazi type forgot ì lect saw pouch like v nice,,,,0
ham,k text your way,,,,0
ham,sir wait mail,,,,0
ham,swt thought nver get tire littl thing 4 lovabl person cozsomtim littl thing occupi biggest part heart gud ni8,,,,0
ham,know pl open back,,,,0
ham,ye see ya dot,,,,0
ham,what staff name take class us,,,,0
spam,freemsg havent repli text im randi sexi femal live local luv hear u netcollex ltd 08700621170150p per msg repli stop end,,,,1
ham,ummmawil call check inour life begin qatar pl pray hard,,,,0
ham,ki delet contact,,,,0
ham,sindu got job birla soft,,,,0
ham,wine flow im never,,,,0
ham,yup thk cine better co need 2 go 2 plaza mah,,,,0
ham,ok ur typic repli,,,,0
ham,per request mell mell oru minnaminungint nurungu vettam set callertun caller press 9 copi friend callertun,,,,0
ham,everywher dirt floor window even shirt sometim open mouth come flow dream world without half chore time joy lot tv show ill see guess like thing must exist like rain hail mist time done becom one,,,,0
ham,aaooooright work,,,,0
ham,im leav hous,,,,0
ham,hello love get interview today happi good boy think mear miss,,,,0
spam,custom servic annonc new year deliveri wait pleas call 07046744435 arrang deliveri,,,,1
spam,winner u special select 2 receiv å£1000 cash 4 holiday flight inc speak live oper 2 claim 0871277810810,,,,1
ham,keep safe need miss alreadi envi everyon see real life,,,,0
ham,new car hous parentsi new job hand,,,,0
ham,im love im excit day spend make happi,,,,0
spam,pl stop bootydeli 32f invit friend repli yes434 no434 see wwwsmsacubootydeli stop send stop frnd 62468,,,,1
spam,bangbab ur order way u receiv servic msg 2 download ur content u goto wap bangb tv ur mobil internetservic menu,,,,1
ham,place ur point e cultur modul alreadi,,,,0
spam,urgent tri contact last weekend draw show å£900 prize guarante call 09061701939 claim code s89 valid 12hr,,,,1
ham,hi frnd best way avoid missunderstd wit belov one,,,,0
ham,great escap fanci bridg need lager see tomo,,,,0
ham,ye complet formclark also utter wast,,,,0
ham,sir need axi bank account bank address,,,,0
ham,hmmm thk sure got time hop ard ya go 4 free abt muz call u discuss liao,,,,0
ham,time come later,,,,0
ham,bloodi hell cant believ forgot surnam mr ill give u clue spanish begin,,,,0
ham,well im gon na finish bath goodfin night,,,,0
ham,let know youv got money carlo make call,,,,0
ham,u still go mall,,,,0
ham,turn friend stay whole show wont back til ltgt feel free go ahead smoke ltgt worth,,,,0
ham,text doesnt repli let know log,,,,0
ham,hi spoke maneesha v wed like know satisfi experi repli toll free ye,,,,0
ham,lift hope offer money need especi end month approach hurt studi anyway gr8 weekend,,,,0
ham,lol u trust,,,,0
ham,ok gentleman treat digniti respect,,,,0
ham,guy close,,,,0
ham,go noth greatby,,,,0
ham,hello handsom find job lazi work toward get back net mummi where boytoy miss,,,,0
ham,haha awesom minut,,,,0
spam,pleas call custom servic repres freephon 0808 145 4742 9am11pm guarante å£1000 cash å£5000 prize,,,,1
ham,got xma radio time get,,,,0
ham,ju reach home go bath first si use net tell u finish k,,,,0
spam,uniqu enough find 30th august wwwareyouuniquecouk,,,,1
ham,im sorri ive join leagu peopl dont keep touch mean great deal friend time even great person cost great week,,,,0
ham,hi final complet cours,,,,0
ham,stop howev suggest stay someon abl give or everi stool,,,,0
ham,hope youv settl new school year wishin gr8 day,,,,0
ham,gud mrng dear hav nice day,,,,0
ham,u got person stori,,,,0
ham,hamster dead hey tmr meet 1pm orchard mrt,,,,0
ham,hi kate even hope see tomorrow bit bloodi babyjontet txt back u xxx,,,,0
ham,found enc ltgt,,,,0
ham,sent ltgt buck,,,,0
ham,hello darlin ive finish colleg txt u finish u love kate xxx,,,,0
ham,account refil success inr ltdecimalgt keralacircl prepaid account balanc rs ltdecimalgt transact id kr ltgt,,,,0
ham,goodmorn sleep ga,,,,0
ham,u call alter 11 ok,,,,0
ham,ìï say like dat dun buy ericsson oso oredi lar,,,,0
ham,enter cabin pa said happi bday boss felt special askd 4 lunch lunch invit apart went,,,,0
ham,aight yo dat straight dogg,,,,0
ham,pleas give us connect today ltdecimalgt refund bill,,,,0
ham,shoot big load get readi,,,,0
ham,what bruv hope great break reward semest,,,,0
ham,home alway chat,,,,0
ham,kkgoodstudi well,,,,0
ham,yup ì noe leh,,,,0
ham,sound great home,,,,0
ham,final match head toward draw predict,,,,0
ham,tire havent slept well past night,,,,0
ham,easi ahsen got select mean good,,,,0
ham,take exam march 3,,,,0
ham,yeah think use gt atm regist sure there anyway help let know sure readi,,,,0
ham,ok prob take ur time,,,,0
ham,os call ubandu run without instal hard diskyou use os copi import file system give repair shop,,,,0
ham,sorri ill call later,,,,0
ham,u say leh cours noth happen lar say v romant ju bit lor thk e nite sceneri nice leh,,,,0
spam,500 new mobil 2004 must go txt nokia 89545 collect todayfrom å£1 www4tcbiz 2optout 08718726270150gbpmtmsg18,,,,1
ham,would realli appreci call need someon talk,,,,0
spam,u meet ur dream partner soon ur career 2 flyng start 2 find free txt horo follow ur star sign e g horo ari,,,,1
ham,hey compani elama po mudyadhu,,,,0
ham,life strict teacher bcoz teacher teach lesson amp conduct exam life first conduct exam amp teach lesson happi morn,,,,0
ham,dear good morn,,,,0
ham,get gandhipuram walk cross cut road right side ltgt street road turn first right,,,,0
ham,dear go rubber place,,,,0
ham,sorri batteri die yeah im,,,,0
ham,yesher tv alway avail work place,,,,0
spam,text meet someon sexi today u find date even flirt u join 4 10p repli name age eg sam 25 18 msg recdthirtyeight penc,,,,1
ham,print oh ltgt come upstair,,,,0
ham,ill littl closer like bu stop street,,,,0
ham,youwhen wil reach,,,,0
ham,new theori argument win situat lose person dont argu ur friend kick amp say im alway correct,,,,0
spam,u 447801259231 secret admir look 2 make contact ufind rreveal think ur specialcal 09058094597,,,,1
ham,tomarrow final hear laptop case cant,,,,0
ham,pleassssssseeeee tel v avent done sportsx,,,,0
ham,okay shine meant sign sound better,,,,0
ham,although told u dat im baig face watch realli like e watch u gave co fr u thanx 4 everyth dat uve done today im touch,,,,0
ham,u dont rememb old commerci,,,,0
ham,late said websit didnt dont slipper,,,,0
ham,ask call ok,,,,0
ham,kalli wont bat 2nd inning,,,,0
ham,didnt work oh ok goodnight ill fix readi time wake dearli miss good night sleep,,,,0
spam,congratul ur award 500 cd voucher 125gift guarante free entri 2 100 wkli draw txt music 87066 tnc wwwldewcom1win150ppmx3age16,,,,1
ham,ranjith cal drpd deeraj deepak 5min hold,,,,0
ham,wen ur lovabl bcum angri wid u dnt take serious coz angri childish n true way show deep affect care n luv kettoda manda nice day da,,,,0
ham,doinghow,,,,0
ham,up 3day also ship compani take 2wk way usp take week get lag may bribe nipost get stuff,,,,0
ham,im back lem know your readi,,,,0
ham,dont necessarili expect done get back though im headin,,,,0
ham,mmm yummi babe nice jolt suzi,,,,0
ham,lover need,,,,0
spam,tri contact repli offer video handset 750 anytim network min unlimit text camcord repli call 08000930705,,,,1
ham,i‰û÷m park next mini come today think,,,,0
ham,yup,,,,0
ham,anyway im go shop co si done yet dun disturb u liao,,,,0
ham,luton 0125698789 ring ur around h,,,,0
spam,hey realli horni want chat see nake text hot 69698 text charg 150pm unsubscrib text stop 69698,,,,1
ham,dint come us,,,,0
ham,wana plan trip sometm,,,,0
ham,sure yet still tri get hold,,,,0
spam,ur rington servic chang 25 free credit go club4mobilescom choos content stop txt club stop 87070 150pwk club4 po box1146 mk45 2wt,,,,1
ham,evo download flash jealou,,,,0
spam,rington club get uk singl chart mobil week choos top qualiti rington messag free charg,,,,1
ham,come mu sort narcot situat,,,,0
ham,night end anoth day morn come special way may smile like sunni ray leav worri blue blue bay,,,,0
spam,hmv bonu special 500 pound genuin hmv voucher answer 4 easi question play send hmv 86688 infowww100percentrealcom,,,,1
ham,usf guess might well take 1 car,,,,0
ham,object bf come,,,,0
ham,thanx,,,,0
ham,tell rob mack gf theater,,,,0
ham,awesom ill see bit,,,,0
ham,sent type food like,,,,0
ham,done hand celebr full swing yet,,,,0
ham,got call tool,,,,0
ham,wen u miss someon, the person is definitely special for u..... But if the person is so special, why to miss them," just Keep-in-touch\"" gdeve..""",0
ham,ok ask money far,,,,0
ham,oki,,,,0
ham,yeah think usual guy still pass last night get ahold anybodi let know ill throw,,,,0
ham,k might come tonight class let earli,,,,0
ham,ok,,,,0
ham,hi babi im cruisin girl friend r u 2 give call hour home that alright fone fone love jenni xxx,,,,0
ham,life mean lot love life love peopl life world call friend call world ge,,,,0
ham,dearshal mail tonitebusi streetshal updat toniteth look okvarunnathu edukkukaye raksha ollubut good one real sens,,,,0
ham,hey told name gautham ah,,,,0
ham,haf u found feel stupid da v cam work,,,,0
ham,oop 4 got bit,,,,0
ham,much buzi,,,,0
ham,accident delet messag resend pleas,,,,0
spam,tmobil custom may claim free camera phone upgrad pay go sim card loyalti call 0845 021 3680offer end 28thfebtc appli,,,,1
ham,unless situat go gurl would appropri,,,,0
ham,hurt teas make cri end life die plz keep one rose grave say stupid miss u nice day bslvyl,,,,0
ham,cant pick phone right pl send messag,,,,0
ham,need coffe run tomoc believ time week alreadi,,,,0
ham,awesom rememb last time got somebodi high first time diesel v,,,,0
ham,shit realli shock scari cant imagin second def night u think somewher could crash night save taxi,,,,0
ham,oh way food fridg want go meal tonight,,,,0
ham,womdarful actor,,,,0
spam,sm ac blind date 4u rodds1 21m aberdeen unit kingdom check httpimg sm acwicmb3cktz8r74 blind date send hide,,,,1
ham,yup remb think book,,,,0
ham,jo ask u wana meet,,,,0
ham,lol ye friendship hang thread caus u wont buy stuff,,,,0
spam,themob check newest select content game tone gossip babe sport keep mobil fit funki text wap 82468,,,,1
ham,garag key arent bookshelf,,,,0
ham,today accept dayu accept brother sister lover dear1 best1 clos1 lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd rpli mean enemi,,,,0
spam,think ur smart win å£200 week weekli quiz text play 85222 nowtc winnersclub po box 84 m26 3uz 16 gbp150week,,,,1
ham,say hell give call friend got money he definit buy end week,,,,0
ham,hi way u 2day normal waythi real ur uniquei hope know u 4 rest mylif hope u find wot lost,,,,0
ham,made day great day,,,,0
ham,kkadvanc happi pongal,,,,0
ham,hmmm guess go 4 kb n power yoga haha dunno tahan power yoga anot thk got lo oso forgot liao,,,,0
ham,realli dude friend im afraid,,,,0
spam,decemb mobil 11mth entitl updat latest colour camera mobil free call mobil updat co free 08002986906,,,,1
ham,coffe cake guess,,,,0
ham,merri christma babe love ya kiss,,,,0
ham,hey dont go watch x men lunch haha,,,,0
ham,cud u tell ppl im gona b bit l8 co 2 buse hav gon past co full im still waitin 4 1 pete x,,,,0
ham,would great well guild could meet bristol road somewher get touch weekend plan take flight good week,,,,0
ham,problem,,,,0
ham,callsmessagesmiss call,,,,0
ham,hi dahow today class,,,,0
ham,id say that good sign well know track record read women,,,,0
ham,cool text your park,,,,0
ham,im read text sent meant joke read light,,,,0
ham,kkapo kgood movi,,,,0
ham,mayb could get book tomo return immedi someth,,,,0
spam,call germani 1 penc per minut call fix line via access number 0844 861 85 85 prepay direct access,,,,1
ham,chanc might evapor soon violat privaci steal phone number employ paperwork cool pleas contact report supervisor,,,,0
spam,valentin day special win å£1000 quiz take partner trip lifetim send go 83600 150pmsg rcvd custcare08718720201,,,,1
ham,tadaaaaa home babe still,,,,0
ham,cool come havent wine dine,,,,0
ham,sleepingand surf,,,,0
ham,sorri ill call later,,,,0
ham,u call right call hand phone,,,,0
ham,ok that great thanx lot,,,,0
ham,take post come must 1000 text happi read one wiv hello carolin end favourit bless,,,,0
ham,u hide stranger,,,,0
ham,interest like,,,,0
ham,sister clear two round birla soft yesterday,,,,0
ham,gudnitetcpractic go,,,,0
ham,di yiju ju saw ur mail case huim havent sent u num di num,,,,0
ham,one small prestig problem,,,,0
spam,fanci shag dointerest sextextukcom txt xxuk suzi 69876 txt cost 150 per msg tnc websit x,,,,1
ham,check realli miss see jeremiah great month,,,,0
ham,nah cant help ive never iphon,,,,0
ham,your car hour half im go apeshit,,,,0
ham,today sorri day ever angri ever misbehav hurt plz plz slap urself bcoz ur fault im basic good,,,,0
ham,yo guy ever figur much need alcohol jay tri figur much safe spend weed,,,,0
ham,ltgt ish minut 5 minut ago wtf,,,,0
ham,thank callingforgot say happi onam sirjii fine rememb met insur personmeet qatar insha allahrakhesh ex tata aig join tisscotays,,,,0
spam,congratul ur award 500 cd voucher 125gift guarante free entri 2 100 wkli draw txt music 87066 tnc wwwldewcom1win150ppmx3age16,,,,1
spam,ur cashbal current 500 pound maxim ur cashin send cash 86688 150pmsg cc 08708800282 hgsuite3422land roww1j6hl,,,,1
ham,im actor work work even sleep late sinc im unemploy moment alway sleep late your unemploy everi day saturday,,,,0
ham,hello got st andrewsboy long way cold keep post,,,,0
ham,ha ha cool cool chikku chikkudb,,,,0
ham,oh ok prob,,,,0
ham,check audrey statu right,,,,0
ham,busi tri finish new year look forward final meet,,,,0
ham,good afternoon sunshin dawn day refresh happi aliv breath air smile think love alway,,,,0
ham,well know z take care worri,,,,0
spam,updatenow xma offer latest motorola sonyericsson nokia free bluetooth doubl min 1000 txt orang call mobileupd8 08000839402 call2optoutf4q,,,,1
spam,discount code rp176781 stop messag repli stop wwwregalportfoliocouk custom servic 08717205546,,,,1
ham,wat uniform get,,,,0
ham,cool text your readi,,,,0
ham,hello boytoy geeee miss alreadi woke wish bed cuddl love,,,,0
ham,spoil bed well,,,,0
ham,im go bath msg next ltgt min,,,,0
ham,cant keep talk peopl sure pay agre price pl tell want realli buy much will pay,,,,0
spam,thank rington order refer t91 charg gbp 4 per week unsubscrib anytim call custom servic 09057039994,,,,1
ham,say happen,,,,0
ham,could seen mei didt recognis face,,,,0
ham,well there lot thing happen lindsay new year sigh bar ptbo blue heron someth go,,,,0
ham,keep payasam rinu bring,,,,0
ham,taught ranjith sir call sm like becau he verifi project prabu told today pa dont mistak,,,,0
ham,guess that worri must know there way bodi repair im quit sure shouldnt worri well take slow first test guid ovul relax noth youv said reason worri ill keep followin,,,,0
ham,yeah sure give coupl minut track wallet,,,,0
ham,hey leav big deal take care,,,,0
ham,hey late ah meet 945,,,,0
spam,doubl min txt 4 6month free bluetooth orang avail soni nokia motorola phone call mobileupd8 08000839402 call2optoutn9dx,,,,1
ham,took mr owl 3 lick,,,,0
ham,custom place call,,,,0
ham,mm time dont like fun,,,,0
spam,4mth half price orang line rental latest camera phone 4 free phone 11mth call mobilesdirect free 08000938767 updat or2stoptxt,,,,1
ham,yup lunch buffet u eat alreadi,,,,0
ham,huh late fr dinner,,,,0
ham,hey sat go intro pilat kickbox,,,,0
ham,morn ok,,,,0
ham,ye think offic lap room think that last day didnt shut,,,,0
ham,pick bout 730ish time go,,,,0
ham,perform award calcul everi two monthnot current one month period,,,,0
ham,actual sleep still might u call back text gr8 rock si send u text wen wake,,,,0
ham,alway put busi put pictur ass facebook one open peopl ive ever met would think pictur room would hurt make feel violat,,,,0
ham,good even sir al salam wahleykkumshar happi newsbi grace god got offer tayseertissco joinedhop fineinshah allahmeet sometimerakheshvisitor india,,,,0
ham,hmmmkbut want chang field quickli dai wan na get system administr network administr,,,,0
spam,free rington text first 87131 poli text get 87131 true tone help 0845 2814032 16 1st free tone 3xå£150pw eå£nd txt stop,,,,1
ham,dear chechi talk,,,,0
ham,hair cream ship,,,,0
ham,none that happen til get though,,,,0
ham,yep great loxahatche xma tree burn ltgt start hour,,,,0
ham,haha get use drive usf man know lot stoner,,,,0
ham,well slightli disastr class pm fav darl hope day ok coffe wld good cant stay late tomorrow time place alway,,,,0
ham,hello good week fanci drink someth later,,,,0
ham,headin toward busetop,,,,0
ham,messagesom text miss sendernam miss number miss sentdat miss miss u lot that everyth miss sent via fullonsmscom,,,,0
ham,come room point iron plan weekend,,,,0
ham,co want thing,,,,0
ham,oki ill go yan jiu skip ard oso go cine den go mrt one blah blah blah,,,,0
ham,bring home wendi,,,,0
spam,100 date servic call 09064012103 box334sk38ch,,,,1
ham,whatsup dont u want sleep,,,,0
ham,alright new goal,,,,0
spam,free entri å£250 weekli competit text word win 80086 18 tc wwwtxttowincouk,,,,1
ham,alright ill head minut text meet,,,,0
spam,send logo 2 ur lover 2 name join heart txt love name1 name2 mobno eg love adam eve 07123456789 87077 yahoo pobox36504w45wq txtno 4 ad 150p,,,,1
ham,yesfrom last week im take live call,,,,0
spam,someon contact date servic enter phone fanci find call landlin 09111032124 pobox12n146tf150p,,,,1
ham,siva hostel aha,,,,0
spam,urgent mobil number award å£2000 prize guarante call 09058094455 land line claim 3030 valid 12hr,,,,1
ham,send ur friend receiv someth ur voic speak express 1childish 2naughti 3sentiment 4rowdi 5ful attitud 6romant 7shi 8attract 9funni ltgt irrit ltgt lovabl repli,,,,0
ham,ok shell ok guess,,,,0
ham,aathiwher dear,,,,0
ham,pain urin thing els,,,,0
ham,7 esplanad ì mind give lift co got car today,,,,0
ham,wnt buy bmw car urgentlyit vri urgentbut hv shortag ltgt lacsther sourc arng di amt ltgt lacsthat prob,,,,0
ham,home watch tv lor,,,,0
ham,usual take fifteen fuck minut respond ye question,,,,0
spam,congrat nokia 3650 video camera phone call 09066382422 call cost 150ppm ave call 3min vari mobil 16 close 300603 post bcm4284 ldn wc1n3xx,,,,1
ham,book ticket pongal,,,,0
ham,avail im like right around hillsborough amp ltgt th,,,,0
ham,messag sent askin ltgt dollar shoul pay ltgt ltgt,,,,0
ham,ask g iouri ive told stori like ten time alreadi,,,,0
ham,long applebe fuck take,,,,0
ham,hi hope u get txtjourney hasnt gdnow 50 min late think,,,,0
ham,like love arrang,,,,0
ham,yesh realli greatbhaji told kalli best cricket sachin worldveri tough get,,,,0
ham,suppos wake gt,,,,0
ham,oic saw tot din c found group liao,,,,0
ham,sorri ill call later,,,,0
ham,hey hey wereth monkeespeopl say monkeyaround howdi gorgeou," HOWU DOIN? FOUNDURSELF A JOBYET SAUSAGE?LOVE JEN XXX\""""",,,0
ham,sorri batteri die come im get gram where place,,,,0
ham,well done blimey exercis yeah kinda rememb wot hmm,,,,0
ham,wont get concentr dear know mind everyth,,,,0
ham,lol made plan new year,,,,0
ham,10 min later k,,,,0
ham,hank lotsli,,,,0
ham,thank hope good day today,,,,0
ham,kkwhat detail want transferacc enough,,,,0
ham,ok tell stay yeah tough optimist thing improv month,,,,0
spam,loan purpos å£500 å£75000 homeown tenant welcom previous refus still help call free 0800 1956669 text back help,,,,1
ham,si si think ill go make oreo truffl,,,,0
ham,look ami ure beauti intellig woman like u lot know u donåõt like like donåõt worri,,,,0
ham,hope that result consist intellig kind start ask practicum link keep ear open best ttyl,,,,0
ham,120 call cost guess isnt bad miss ya need ya want ya love ya,,,,0
ham,go thru differ feelingwav decis cope individualtim heal everyth believ,,,,0
ham,u go phone gon na die stay,,,,0
ham,great never better day give even reason thank god,,,,0
spam,upgrdcentr orang custom may claim free camera phone upgrad loyalti call 0207 153 9153 offer end 26th juli tc appli optout avail,,,,1
ham,sorri ill call later ok bye,,,,0
ham,ok way railway,,,,0
ham,great princess love give receiv oral doggi style fave posit enjoy make love ltgt time per night,,,,0
ham,dont put stuff road keep get slipperi,,,,0
ham,go ride bike,,,,0
ham,yup need ill ju wait 4 e rain 2 stop,,,,0
ham,mani compani tell languag,,,,0
